variety,colour,grape_colour
tinta miuda,red,NA
tinta negra mole,red,noir
torrontÈs,white,blanc
tourbat,white,blanc
touriga francesa,red,NA
touriga nacional,red,noir
traminette,white,NA
trebbiano,white,white
treixadura,white,white
trepat,red,NA
tressot,red,NA
trevisana nera,red,NA
triomphe d'alsace,red,black
trollinger,red,NA
trousseau,red,noir
trousseau gris,white,NA
tsardana,red,NA
tsolikouri,white,white
uva di troia,red,NA
uva rara,red,NA
uva tosca,red,NA
uvalino,red,NA
valdiguiÈ,red,NA
valentino nero,red,NA
valvin muscat,white,NA
vega,white,NA
verdea,white,NA
verdeca,white,NA
verdejo,white,NA
verdelho,white,blanc
verdello,white,NA
verdesse,white,blanc
verdicchio,white,white
verdiso,white,NA
verduzzo,white,NA
verduzzo trevigiano,white,NA
vermentino,white,blanc
vermentino nero,red,NA
vernaccia,white,NA
vernaccia di oristano,white,NA
versoaln,white,NA
vespaiola,white,blanc
vespolina,red,noir
vidal blanc,white,blanc
vien de nus,red,NA
vigiriega,white,NA
vignoles,white,NA
vilana,white,NA
viognier,white,blanc
viosinho,white,NA
vital,white,NA
vitis rotundifolia,red,NA
vitovska,white,NA
vranac,red,NA
vugava,white,NA
vuillermin,red,NA
weldra,white,NA
welschriesling,white,blanc
wildbacher,red,NA
w¸rzer,white,NA
xarel∑lo,white,white
xinomavro,red,black
xynisteri,white,NA
zalema,white,blanc
ûametovka,red,NA
zarya severa,red,NA
zÈta,white,NA
zierfandler,white,NA
ûilavka,white,blanc
zinfandel,red,NA
zweigelt,red,noir
primitivo,red,NA
